question,reference_answer,line_number_start,line_number_end,question_type,filename
I can't figure out how to set my column types. How do I tell Evidently that 'Age' and 'Salary' are numerical and 'Department' is categorical?,"You can map numerical, categorical, and datetime columns by creating a DataDefinition object and specifying the respective lists: 
```python
definition = DataDefinition(
    numerical_columns=[""Age"", ""Salary""],
    categorical_columns=[""Department""],
)
```",83,88,frustrated_beginner,docs/library/data_definition.mdx
python api dataset data definition,"To run evaluations, you must create a `Dataset` object with a `DataDefinition`, which maps:

- **Column types** (e.g., categorical, numerical, text).
- **Column roles** (e.g., id, prediction, target).

This allows Evidently to process the data correctly. Some evaluations need specific columns and will fail if they're missing. You can define the mapping using the Python API or by assigning columns visually when uploading data to the Evidently platform.",1,6,hurried_developer,docs/library/data_definition.mdx
It says I need to create a Dataset object with a DataDefinition. How do I do that?,"Use `Dataset.from_pandas` with `data_definition`: 
```python
eval_data = Dataset.from_pandas(
    source_df,
    data_definition=DataDefinition()
)
```
To map columns automatically, pass an empty `DataDefinition()`. Evidently will map columns by type (numerical, categorical) and by matching column names to roles (e.g., a column ""target"" treated as target).",23,37,context_assumer,docs/library/data_definition.mdx
Can I automatically map columns by their data type and role?,"Yes, to map columns automatically, pass an empty `DataDefinition()`. Evidently will map columns by type (numerical, categorical) and by matching column names to roles (e.g., a column ""target"" treated as target).",32,36,direct_inquirer,docs/library/data_definition.mdx
My data has a column named 'Latest_Review' that contains text. How do I specify this for LLM evaluations?,"If you run LLM evaluations, simply specify the columns with inputs/outputs as text. 
```python
definition = DataDefinition(
    text_columns=[""Latest_Review""]
    )

eval_data = Dataset.from_pandas(
    source_df,
    data_definition=definition
)
```",61,71,frustrated_beginner,docs/library/data_definition.mdx
what are the default column types if I don't specify them?,"If you do not pass explicit mapping, the following defaults apply:
| **Column Type**       | **Description**                                                                                                                       | **Automated Mapping**                               |
| --------------------- | ------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------- |
| `numerical_columns`   | <ul>      <li>      Columns with numeric values.</li>            </ul>                                                                | All columns with numeric types (`np.number`).       |
| `datetime_columns`    | <ul>      <li>      Columns with datetime values.</li>            <li>      Ignored in data drift calculations.</li>            </ul> | All columns with DateTime format (`np.datetime64`). |
| `categorical_columns` | <ul>      <li>      Columns with categorical values.</li>            </ul>                                                            | All non-numeric/non-datetime columns.               |
| `text_columns`        | <ul>      <li>      Text columns.</li>            <li>      Mapping required for text data drift detection.</li>            </ul>     | No automated mapping.                               |",104,111,direct_inquirer,docs/library/data_definition.mdx
I need to identify my timestamp column. How?,"If you have a timestamp or ID column, it's useful to identify them. 
```python
definition = DataDefinition(
    id_column=""Id"",
    timestamp=""Date""
    )
```",117,122,hurried_developer,docs/library/data_definition.mdx
How is timestamp different from datetime_columns?,"- **DateTime** is a column type. You can have many DateTime columns in the dataset. For example, conversation start / end time or features like ""date of last contact.""
- **Timestamp** is a role. You can have a single timestamp column. It often represents the time when a data input was recorded. Use it if you want to see it as index on the plots.",130,134,direct_inquirer,docs/library/data_definition.mdx
I have some external scores I want to treat as descriptors for LLM evals. How do I map them?,"If you computed some scores or metadata externally and want to treat them as descriptors, you can map them explicitly: 
```python
definition = DataDefinition(
    numerical_descriptors=[""chat_length"", ""user_rating""],
    categorical_descriptors=[""upvotes"", ""model_type""]
    )
```",140,147,context_assumer,docs/library/data_definition.mdx
How do I map the target and prediction columns for regression?,"To run regression quality checks, you must map the columns with:

- Target: actual values.
- Prediction: predicted values.

You can have several regression results in the dataset, for example in case of multiple regression. (Pass the mappings in a list). Example mapping:
```python
definition = DataDefinition(
    regression=[Regression(target=""y_true"", prediction=""y_pred"")]
    )
```
Defaults:
```python
    target: str = ""target""
    prediction: str = ""prediction""
```",151,171,direct_inquirer,docs/library/data_definition.mdx
"I'm doing multiclass classification, but my probability columns are named '0', '1', '2'. The note says they must match the class labels. What do I do?","When you have multiclass classification with predicted probabilities in separate columns, the column names in `prediction_probas` must exactly match the class labels. For example, if your classes are 0, 1, and 2, your probability columns must be named: ""0"", ""1"", ""2"". Values in `target` and `prediction` columns should be strings.",209,210,frustrated_beginner,docs/library/data_definition.mdx
How can I add my own custom tests to evaluate the text data?,"You can create custom descriptors using LLM prompts or Python. Beyond custom LLM judges, you can also implement your own programmatic evals as Python functions. Check the [custom descriptor guide](/metrics/customize_descriptor).",3,3,frustrated_beginner,docs/library/descriptors.mdx
python api add descriptors,"Option B. Add descriptors to the existing Dataset using `add_descriptors`. For example, first create the Dataset. Then, add the scores to this Dataset:",76,95,hurried_developer,docs/library/descriptors.mdx
"It says I can add descriptors to an existing Dataset, how do I do that?","Option B. Add descriptors to the existing Dataset using `add_descriptors`. For example, first create the Dataset. Then, add the scores to this Dataset:",76,95,context_assumer,docs/library/descriptors.mdx
"Can I add tests to a descriptor, and what kind of parameters can I use?","When creating a descriptor (like `TextLength` or `Sentiment`), use the tests argument to set conditions. Each test adds a new column with a True/False result. Use test parameters like `gte` (greater than or equal), `lte` (less than or equal), eq (equal).",186,201,direct_inquirer,docs/library/descriptors.mdx
"I'm trying to evaluate text data, what's the main component I should use?","To evaluate text data, like LLM inputs and outputs, you create **Descriptors**. This is a universal interface for all evals - from text statistics to LLM judges.",1,1,frustrated_beginner,docs/library/descriptors.mdx
create dataset python pandas,Use this code snippet to create sample data for testing:,10,33,hurried_developer,docs/library/descriptors.mdx
How do I add descriptors when I first create the Dataset object?,"Option A. Simultaneously create the `Dataset` object and add descriptors to the selected columns (in this case, ""answer"" column).",58,71,context_assumer,docs/library/descriptors.mdx
What are descriptors and how can they be combined?,Each descriptor computes a score or label per row of your dataset. You can combine multiple descriptors and set optional pass/fail conditions. You can use built-in descriptors or create custom ones using LLM prompts or Python.,3,3,direct_inquirer,docs/library/descriptors.mdx
"I want to test if my text is too long, how can I do that?","When creating a descriptor (like `TextLength` or `Sentiment`), use the tests argument to set conditions. Each test adds a new column with a True/False result. Use test parameters like `gte` (greater than or equal), `lte` (less than or equal), eq (equal).",186,201,frustrated_beginner,docs/library/descriptors.mdx
llm judge descriptor openai key,"LLM-as-a-judge. There are also built-in descriptors that prompt an external LLM to return an evaluation score. You can add them like any other descriptor, but you must also provide an API key to use the corresponding LLM.",156,162,hurried_developer,docs/library/descriptors.mdx
What's the easiest way to get a summary report of my evaluation results?,The easiest way to get the Report is through `TextEvals` Preset.,105,105,direct_inquirer,docs/library/descriptors.mdx
It mentions TestSummary can combine tests. How does it work?,`TestSummary` will only consider tests added **before it** in the list of descriptors.,225,226,context_assumer,docs/library/descriptors.mdx
"I have a pandas DataFrame, how do I get it into Evidently to start an evaluation?","Get your data in a table like a `pandas.DataFrame`. More on [data requirements](/docs/library/overview#dataset). You can also [load data](/docs/platform/datasets_workflow) from Evidently Platform, like tracing data you captured or synthetic datasets.",8,10,frustrated_beginner,docs/library/evaluations_overview.mdx
python api upload dataset,"Get your data in a table like a `pandas.DataFrame`. More on [data requirements](/docs/library/overview#dataset). You can also [load data](/docs/platform/datasets_workflow) from Evidently Platform, like tracing data you captured or synthetic datasets.",8,10,hurried_developer,docs/library/evaluations_overview.mdx
"It says I can bring existing data, how?","Get your data in a table like a `pandas.DataFrame`. More on [data requirements](/docs/library/overview#dataset). You can also [load data](/docs/platform/datasets_workflow) from Evidently Platform, like tracing data you captured or synthetic datasets.",8,10,context_assumer,docs/library/evaluations_overview.mdx
Can I load data from the Evidently Platform directly?,"You can also [load data](/docs/platform/datasets_workflow) from Evidently Platform, like tracing data you captured or synthetic datasets.",9,10,direct_inquirer,docs/library/evaluations_overview.mdx
How can I calculate the correlation between two specific columns?,"You can calculate the correlation between two defined columns using the `Correlation()` metric. It requires `column_x` and `column_y` as parameters, and optionally accepts a `method` parameter which defaults to `pearson` and supports `pearson`, `spearman`, `kendall`, and `cramer_v`.",33,33,direct_inquirer,docs/library/leftover_content.mdx
What does the `DatasetCorrelations` metric do?,"The `DatasetCorrelations()` metric calculates the correlations between all or a specified set of columns in the dataset. It supports Pearson, Spearman, Kendall, and Cramer_V methods.",32,32,direct_inquirer,docs/library/leftover_content.mdx
How can I apply a specific metric like ValueDrift to all columns in my dataset using the ColumnMetricGenerator?,"To apply a selected metric (like `ValueDrift`) to all columns in the dataset, you can use the `ColumnMetricGenerator` by initializing it with the desired metric, as shown in Example 1: `report = Report([ColumnMetricGenerator(ValueDrift)])`.",51,56,direct_inquirer,docs/library/metric_generator.mdx
metric generator specific columns python,"You can apply a selected metric (like `ValueDrift`) to a specific list of columns. Use `metric_kwargs` to pass any applicable metric parameters. For example: `report = Report([ColumnMetricGenerator(ValueDrift, columns=['EducationLevel', 'Salary'], metric_kwargs={'method': 'psi'})])`.",62,69,hurried_developer,docs/library/metric_generator.mdx
How can I save my report results?,You can save the computed Report in Evidently Cloud or your local workspace.,9,9,direct_inquirer,docs/library/output_formats.mdx
How can I generate synthetic datasets with Evidently?,"Primarily designed for LLM use cases, Evidently also helps you generate synthetic test datasets - such as RAG-style question-answer pairs from a knowledge base or synthetic inputs to cold-start your AI app testing.",57,58,direct_inquirer,docs/library/overview.mdx
"I'm trying to evaluate my AI system, but I'm not sure where to start. What are the main things Evidently can do?","Evidently library covers 4 core workflows. You can these features together or standalone.

## **1. AI/ML Evaluations**

<Check>
  **TL;DR**: Lots of useful AI/ML/data metrics out of the box. Exportable as scores or visual reports.
</Check>

Evidently’s core capability is running evaluations on AI system inputs and outputs. It includes 100+ built-in metrics and checks, and also useful configurable templates for custom evaluations.

## **2. Synthetic data generation [NEW]**

<Check>
  **TL;DR**: We have a nice config for structured synthetic data generation using LLMs.
</Check>

Primarily designed for LLM use cases, Evidently also helps you generate synthetic test datasets - such as RAG-style question-answer pairs from a knowledge base or synthetic inputs to cold-start your AI app testing.

## **3. Prompt optimization [NEW]**

<Check>
  **TL;DR**: We help write prompts using labeled or annotated data as a target.
</Check>

Evidently also includes tools for automated prompt writing. This features uses built-in evaluation capabilities to score prompt variations, optimizing them based on a target dataset and/or free-form user feedback.

## 4. **Tracking and Visualization UI**

<Check>
  **TL;DR**: There is also a minimal UI to store and track evaluation results.
</Check>

The Evidently library also includes a lightweight self-hostable UI for storing, comparing, and visualizing evaluation results over time.",7,83,frustrated_beginner,docs/library/overview.mdx
How do I create a report that summarizes my data?,"To generate a template Report, simply pass the selected Preset to the Report and run it over your data. If nothing else is specified, the Report will run with the default parameters for all columns in the dataset.

**Single dataset**. To generate the Data Summary Report for a single dataset:

```python
report = Report([
    DataSummaryPreset()
])

my_eval = report.run(eval_data_1, None)
my_eval
#my_eval.json
```",33,45,direct_inquirer,docs/library/report.mdx
"I'm trying to see the drift between two datasets, but I'm not sure how to specify the second dataset as the reference. Can you help?","To generate reports like Data Drift that needs two datasets, pass the second one as a reference when you `run` it:

```python
report = Report([
    DataDriftPreset()
])

my_eval = report.run(eval_data_1, eval_data_2)
my_eval
#my_eval.json
```

In this case the first `eval_data_1` is the current data you evaluate, the second `eval_data_2` is the reference dataset you consider as a baseline for drift detection. You can also pass it explicitly:

```
my_eval = report.run(current_data=eval_data_1, reference_data=eval_data_2)
```",53,69,frustrated_beginner,docs/library/report.mdx
How to limit columns in a report?,"You can limit the columns to which the Preset is applied.

```python
report = Report([
    DataDriftPreset(column=[""target"", ""prediction""])
])

my_eval = report.run(eval_data_1, eval_data_2)
my_eval
#my_eval.json
```",84,94,hurried_developer,docs/library/report.mdx
Can I combine presets and metrics in one report?,"You can combine both dataset-level and column-level Metrics, and combine Presets and Metrics in one Report.",102,102,context_assumer,docs/library/report.mdx
How can I change the timestamp for a report run? It keeps using my current time.,"You can specify a custom timestamp by passing it to the `run()` method. For example: `my_eval_4 = report.run(eval_data_1, eval_data_2, timestamp=datetime(2024, 1, 29))`",7,15,frustrated_beginner,docs/library/tags_metadata.mdx
custom tags and metadata for reports,You can add `tags` and `metadata` to Reports to support search and ease of filtering. Tags also let you visualize data from specific subsets of Reports on monitoring Panels. You can add tags to the Report by passing a list of custom tags. You can add metadata as a Python dictionary in key:value pairs.,21,49,hurried_developer,docs/library/tags_metadata.mdx
