question,llm_answer,human_label,human_comment,llm_label,llm_reasoning
How do I set up LLM as a judge?,"To set up an LLM as a judge, you will define custom evaluation criteria using a prompt, apply this judge to your data, and then generate a report to analyze the results. Here's a step-by-step guide:

1.  **Installation and Imports**: Begin by installing the Evidently library and importing the necessary modules:

    ```python
    pip install evidently
    import pandas as pd
    from evidently import Dataset, DataDefinition, Report
    from evidently.descriptors import LLMEval
    from evidently.presets import TextEvals, ClassificationPreset
    from evidently.llm.templates import BinaryClassificationPromptTemplate
    import os
    ```

2.  **Set up API Key**: Provide your OpenAI API key as an environment variable to allow the LLM judge to function:

    ```python
os.environ[""OPENAI_API_KEY""] = ""YOUR_KEY""
    ```

3.  **Create an Evaluation Dataset**: Prepare a Pandas DataFrame that includes the text outputs you want the LLM to evaluate. This could involve columns for questions, new responses, and optionally, target (reference) responses and manual labels for evaluating the judge itself.

    ```python
    # Example of creating a toy dataset
    data = [
      [""Hi there, how do I reset my password?"", ""To reset your password, click on 'Forgot Password' on the login page and follow the instructions sent to your registered email."", ""To change your password, select 'Forgot Password' on the login screen and follow the steps sent to your registered email address."", ""incorrect"", ""adds new information (contact support)""],
      # ... more data ...
    ]
    columns = [""question"", ""target_response"", ""new_response"", ""label"", ""comment""]
    golden_dataset = pd.DataFrame(data, columns=columns)

    # Create an Evidently dataset object
    definition = DataDefinition(
        text_columns=[""question"", ""target_response"", ""new_response""],
        categorical_columns=[""label""]
    )
    eval_dataset = Dataset.from_pandas(golden_dataset, data_definition=definition)
    ```

4.  **Define the LLM Judge Prompt**: Configure the evaluation criteria using `BinaryClassificationPromptTemplate` for two-class classification (or a multi-class template for more categories). You will define:

    *   `criteria`: A detailed description of what constitutes each category.
    *   `target_category`: The category you are primarily looking to identify (e.g., ""incorrect"").
    *   `non_target_category`: The alternative category (e.g., ""correct"").
    *   `include_reasoning`: Set to `True` to get an explanation from the LLM for its classification.
    *   `pre_messages`: Optional system messages to guide the LLM's role.

    ```python
    correctness_judge_template = BinaryClassificationPromptTemplate(
        criteria=""""""An ANSWER is correct when it is the same as the REFERENCE in all facts and details, even if worded differently.
        The ANSWER is incorrect if it contradicts the REFERENCE, adds additional claims, omits or changes details.
        REFERENCE:
        =====
        {target_response}
        ====="""""",
        target_category=""incorrect"",
        non_target_category=""correct"",
        uncertainty=""unknown"",
        include_reasoning=True,
        pre_messages=[(""system"", ""You are an expert evaluator. You will be given an ANSWER and REFERENCE"")],
    )
    ```

5.  **Run the LLM Judge**: Add your defined LLM judge as a descriptor to your dataset using `LLMEval`. Specify the column to evaluate, the prompt template, the LLM provider, model, and an alias for the new column containing the judge's output. If your prompt requires additional columns (like a reference response), include them in `additional_columns`.

    ```python
    eval_dataset.add_descriptors(descriptors=[
        LLMEval(""new_response"",
                template=correctness_judge_template,
                provider=""openai"",
                model=""gpt-4o-mini"",
                alias=""Correctness"",
                additional_columns={""target_response"": ""target_response""}),
    ])
    ```

6.  **Preview Results and Generate a Report**: You can view the scored dataset with the LLM judge's evaluations using `eval_dataset.as_dataframe()`. To get a summarized view of the results, generate an Evidently Report:

    ```python
    report = Report([
        TextEvals()
    ])
    my_eval = report.run(eval_dataset, None)
    my_eval # Renders the HTML report in a notebook environment
    ```

7.  **(Optional) Evaluate the LLM Judge Quality**: If you have manual labels for your data, you can evaluate the performance of your LLM judge by treating it as a binary classification problem. Map your manual labels as the target and the LLM judge's output as predictions, then run a Report with `ClassificationPreset()`:

    ```python
    # Example: Defining data for classification evaluation
    df = eval_dataset.as_dataframe()
    definition_2 = DataDefinition(
        classification=[BinaryClassification(
            target=""label"",
            prediction_labels=""Correctness"",
            pos_label = ""incorrect"")]
    )
    class_dataset = Dataset.from_pandas(pd.DataFrame(df), data_definition=definition_2)

    report = Report([
        ClassificationPreset()
    ])
    my_eval = report.run(class_dataset, None)
    my_eval
    ```

This process allows you to set up, run, and evaluate custom LLM judges for various criteria, such as correctness or conciseness.",good,,good,"The user asked how to set up ""LLM as a judge"". The agent used the `search` tool to find relevant documentation and then the `get_file` tool to retrieve specific files (`LLM_judge.mdx` and `quickstart_llm.mdx`). The agent"
I want to evaluate my chatbot responses,"Evidently helps you evaluate chatbot responses automatically by allowing you to compare prompts, models, and run regression or adversarial tests with clear, repeatable checks. The general process involves preparing your chatbot response data, running various evaluations using built-in descriptors or custom LLM judges, and then generating reports to summarize the findings.

Here's how you can evaluate your chatbot responses:

1.  **Prepare your dataset**: Create a dataset with your chatbot's questions and answers. You can also include reference outputs for comparison. For example:

    ```python
    import pandas as pd
    data = [
        [""What is the chemical symbol for gold?"", ""Gold chemical symbol is Au.""],
        [""Tell me a joke."", ""Why don't programmers like nature? Too many bugs!""]
    ]
    columns = [""question"", ""answer""]
    eval_df = pd.DataFrame(data, columns=columns)
    ```

2.  **Run evaluations using Descriptors**: Evidently provides various descriptors to evaluate different aspects of your chatbot responses. Each descriptor adds a new score or label to each row in your dataset. Some common evaluations include:

    *   **Sentiment**: Evaluates the sentiment of the response (from -1 for negative to 1 for positive).
    *   **Text Length**: Measures the character count of the response.
    *   **Denials (Refusals to answer)**: Identifies if the chatbot refused to answer, often using an LLM-as-a-judge with a built-in prompt or keyword-based checks (`IncludesWords`).
    *   **Custom LLM Judges**: Implement custom criteria using built-in LLM judge templates. This allows you to classify responses based on specific rules, such as whether a question is ""appropriate"" or if an answer is ""correct"" or ""concise"". You can define criteria for correctness (comparing new responses against a reference) or for open-ended criteria like verbosity.
    *   **Faithfulness**: Detects if the response is contradictory or unfaithful to the provided context.
    *   **Correctness (with ground truth)**: Compare generated responses against known correct answers using LLM-based matching (`CorrectnessLLMEval`), BERTScore, or Semantic Similarity.
    *   **Other checks**: You can also add checks for length constraints, refusal rates, string matching (for required wording), and response tone.

    To run these evaluations, you create an Evidently `Dataset` object and specify the descriptors:

    ```python
    from evidently import Dataset, DataDefinition
    from evidently.descriptors import Sentiment, TextLength, DeclineLLMEval # or other descriptors

    eval_dataset = Dataset.from_pandas(
        eval_df,
        data_definition=DataDefinition(),
        descriptors=[
            Sentiment(""answer"", alias=""Sentiment""),
            TextLength(""answer"", alias=""Length""),
            DeclineLLMEval(""answer"", alias=""Denials"")
        ]
    )
    ```

3.  **Create a Report**: After running the evaluations, you can generate an Evidently `Report` to summarize the results across multiple tested inputs. The `TextEvals` preset can be used to combine several text evaluation metrics.

    ```python
    from evidently import Report
    from evidently.presets import TextEvals

    report = Report([TextEvals()])
    my_eval = report.run(eval_dataset, None)
    # my_eval # to preview locally
    ```

4.  **Add tests (Optional)**: You can add explicit pass/fail conditions to your evaluations based on expected score distributions. For example, you can set a test to ensure sentiment is non-negative, text length is within limits, or there are no denials.

    ```python
    from evidently.tests import gte, lte, eq, TestSummary
    from evidently.descriptors import Sentiment, TextLength, DeclineLLMEval

    eval_dataset = Dataset.from_pandas(
        eval_df,
        data_definition=DataDefinition(),
        descriptors=[
            Sentiment(""answer"", alias=""Sentiment"", tests=[gte(0, alias=""Is_non_negative"")]),
            TextLength(""answer"", alias=""Length"", tests=[lte(150, alias=""Has_expected_length"")]),
            DeclineLLMEval(""answer"", alias=""Denials"", tests=[eq(""OK"", column=""Denials"", alias=""Is_not_a_refusal"")]),
            TestSummary(success_all=True, alias=""All_tests_passed"")
        ]
    )
    ```

5.  **Upload to Evidently Cloud (Optional)**: For easy tracking, comparison, and collaboration, you can upload your evaluation results to Evidently Cloud.",good,,good,"The user asked how to evaluate chatbot responses. The agent provided a comprehensive answer that includes preparing the dataset, running evaluations using Evidently descriptors, creating reports, adding tests, and optionally uploading to Evidently Cloud. The response correctly uses Python code examples and refers to Evidently's capabilities. It accurately addresses the user's query based on the likely documentation content related to LLM evaluations."
How do I customize evaluation criteria for my use case?,"To customize evaluation criteria for your use case, you can create a custom LLM evaluator using Evidently's provided templates. This allows you to define specific evaluation criteria and grading logic.

Evidently offers two main templates for custom LLM judges:

*   **`BinaryClassificationPromptTemplate`**: Use this when you want the LLM judge to classify texts into two defined categories. You specify the `criteria` (free-form text defining the evaluation logic), `target_category`, and `non_target_category`. You can also include reasoning and pre-messages for context. This template is flexible and can be adapted for various custom criteria, such as evaluating conciseness or appropriateness to an application's scope.

    *   **Single Column Evaluation**: Define your criteria and categories, then apply it to a single column in your dataset using `LLMEval` and passing your custom template.
    *   **Multiple Columns Evaluation**: If your evaluation requires comparing information across multiple columns (e.g., faithfulness of a response to a context), you can mention additional column placeholders within your `criteria` string. When applying the `LLMEval` descriptor, use the `additional_columns` parameter to map your dataset columns to these placeholders.

*   **`MulticlassClassificationPromptTemplate`**: Use this when you need more than two categories for your classification. You define your grading rubric by providing a dictionary of `category_criteria`, where each key is a category name and its value is its definition. Similar to the binary template, you also provide the main `criteria` and can include reasoning and pre-messages.

    *   **Single Column Evaluation**: Define your categories and their criteria, then apply the template to a single column.
    *   **Multiple Columns Evaluation**: Similar to the binary classifier, you can include placeholders for additional columns in your `criteria` and map them using the `additional_columns` parameter in `LLMEval`.

After defining your custom template, you apply it using the `LLMEval` descriptor, specifying the column to evaluate, your custom `template`, the `provider` (e.g., OpenAI, Anthropic, Gemini), and the `model` to use for the evaluation.

**Example of a Binary Classification Template for Conciseness:**

```python
from evidently.llm.templates import BinaryClassificationPromptTemplate
from evidently.descriptors import LLMEval

conciseness = BinaryClassificationPromptTemplate(
        criteria = """"""Conciseness refers to the quality of being brief and to the point, while still providing all necessary information.
            A CONCISE response should:
            - Provide the necessary information without extra details or repetition.
            - Be brief yet comprehensive enough to address the query.
            - Use simple and direct language to convey the message effectively.
        """""",
        target_category=""CONCISE"",
        non_target_category=""VERBOSE"",
        uncertainty=""unknown"",
        include_reasoning=True,
        pre_messages=[(""system"", ""You are a judge which evaluates text."")],
        )

# To apply this descriptor (assuming 'eval_df' is your Dataset and 'response' is the column to evaluate):
# eval_df.add_descriptors(descriptors=[
#     LLMEval(""response"", 
#             template=conciseness, 
#             provider = ""openai"", 
#             model = ""gpt-4o-mini"", 
#             alias=""Conciseness""),
#     ])
```",good,,good,"The agent correctly identified that the user wants to customize evaluation criteria and used the available tools to find relevant information. The response explains how to create custom LLM evaluators using `BinaryClassificationPromptTemplate` and `MulticlassClassificationPromptTemplate`. It provides detailed explanations of each template, including single and multiple column evaluations, and includes a Python code example for a binary classification template. The information provided is directly from the Evidently documentation and answers the user's question completely and accurately. The agent did not hallucinate any information or use any unsupported tools."
What metrics are available?,"Evidently offers a wide range of metrics categorized by their purpose:

**Text Evals:**
*   `TextEvals()`: Summarizes results of text or LLM evaluations.

**Columns:**
*   **Value Stats:** `ValueStats()`, `MinValue()`, `StdValue()`, `MeanValue()`, `MaxValue()`, `MedianValue()`, `QuantileValue()`, `CategoryCount()`.
*   **Column Data Quality:** `MissingValueCount()`, `InRangeValueCount()`, `OutRangeValueCount()`, `InListValueCount()`, `OutListValueCount()`, `UniqueValueCount()`.

**Dataset:**
*   **Dataset Stats:** `DataSummaryPreset()`, `DatasetStats()`, `RowCount()`, `ColumnCount()`.
*   **Dataset Data Quality:** `ConstantColumnsCount()`, `EmptyRowsCount()`, `EmptyColumnsCount()`, `DuplicatedRowCount()`, `DuplicatedColumnsCount()`, `DatasetMissingValueCount()`, `AlmostConstantColumnsCount()`, `ColumnsWithMissingValuesCount()`.

**Data Drift:**
*   `DataDriftPreset()`: Calculates data drift for all or set columns.
*   `DriftedColumnsCount()`: Calculates the number and share of drifted columns.
*   `ValueDrift()`: Calculates data drift for a defined column.

**Classification:**
*   **General:** `ClassificationPreset()`, `ClassificationQuality()`, `Accuracy()`, `Precision()`, `Recall()`, `F1Score()`, `TPR()` (True Positive Rate), `TNR()` (True Negative Rate), `FPR()` (False Positive Rate), `FNR()` (False Negative Rate), `LogLoss()`, `RocAUC()`.
*   **By Label (for multi-class):** `ClassificationQualityByLabel()`, `PrecisionByLabel()`, `F1ByLabel()`, `RecallByLabel()`, `RocAUCByLabel()`.
*   **Dummy Metrics:** `ClassificationDummyQuality()`, `DummyPrecision()`, `DummyRecall()`, `DummyF1()`.

**Regression:**
*   **General:** `RegressionPreset`, `RegressionQuality`, `MeanError()`, `MAE()` (Mean Absolute Error), `RMSE()` (Root Mean Square Error), `MAPE()` (Mean Absolute Percentage Error), `R2Score()`, `AbsMaxError()`.
*   **Dummy Metrics:** `RegressionDummyQuality()`, `DummyMeanError()`, `DummyMAE()`, `DummyMAPE()`, `DummyRMSE()`, `DummyR2()`.

**Ranking:**
*   `RecallTopK()`, `FBetaTopK()`, `PrecisionTopK()`, `MAP()` (Mean Average Precision), `NDCG()` (Normalized Discounted Cumulative Gain), `MRR()` (Mean Reciprocal Rank), `HitRate()`, `ScoreDistribution()`.
",good,,good,The agent correctly identified and listed the available metrics based on the provided documentation. The response is well-organized and directly answers the user's question without hallucinating any information. The tools used were appropriate for retrieving this information.
How do I measure text length?,"To measure text length, you can use the `TextLength` descriptor. This descriptor calculates the character count for a specified text column in your dataset.

Here's an example of how to apply it:

```python
from evidently import Dataset, DataDefinition
from evidently.descriptors import TextLength
import pandas as pd

# Assuming 'df' is your pandas DataFrame and 'answer' is the text column
data = [
    [""Question 1"", ""This is a short answer.""],
    [""Question 2"", ""This is a somewhat longer answer that demonstrates the text length calculation.""]
]
df = pd.DataFrame(data, columns=[""question"", ""answer""])

eval_dataset = Dataset.from_pandas(
    df,
    data_definition=DataDefinition(
        text_columns=[""question"", ""answer""]),
    descriptors=[
        TextLength(""answer"", alias=""Length""),
    ]
)

# To view the results (optional)
# print(eval_dataset.as_dataframe())
```

You can also include tests with `TextLength` to define conditions, such as checking if the text length is below a specific character limit:

```python
from evidently import Dataset, DataDefinition
from evidently.descriptors import TextLength
from evidently.tests import lte
import pandas as pd

# Assuming 'df' is your pandas DataFrame and 'answer' is the text column
data = [
    [""Question 1"", ""This is a short answer.""],
    [""Question 2"", ""This is a somewhat longer answer that demonstrates the text length calculation.""]
]
df = pd.DataFrame(data, columns=[""question"", ""answer""])

eval_dataset = Dataset.from_pandas(
    df,
    data_definition=DataDefinition(
        text_columns=[""question"", ""answer""]),
    descriptors=[
        TextLength(""answer"", alias=""Length"", tests=[
            lte(100, alias=""Length is under 100"")]),
    ]
)

# To view the results (optional)
# print(eval_dataset.as_dataframe())
```",good,,good,"The user asked how to measure text length. The agent correctly identified that the `TextLength` descriptor can be used for this purpose. It provided two code examples demonstrating how to use `TextLength` with and without tests. The examples are clear, accurate, and directly answer the user's question using information from the Evidently documentation. Therefore, the response is good."
What's the difference between metrics and descriptors?,"Descriptors and metrics serve different purposes and operate at different levels of granularity. 

**Descriptors** are used to evaluate text data, such as LLM inputs and outputs. They compute a score or label *per row* of your dataset, meaning they provide insights into individual data entries. You can combine multiple descriptors and set optional pass/fail conditions for each row. Examples include calculating sentiment, text length, or checking for the inclusion of specific words.

**Metrics**, in contrast, provide *aggregate measurements* for the overall dataset or significant subsets (e.g., per user or query). They are used to assess the overall performance or quality of a system or model. Examples of metrics include Recall at K, Precision at K, and Mean Average Precision (MAP), which are used to evaluate ranking, retrieval, and recommender systems.",good,,good,"The agent correctly identified the difference between metrics and descriptors based on the provided documentation. The explanation is clear, concise, and directly answers the user's question. It accurately describes descriptors as row-level evaluations for text data and metrics as aggregate measurements for the overall dataset or subsets. No external tools or hallucinations were involved. The response is well-formatted and easy to understand."
How do I add a scoring function?,"You can add a scoring function by implementing a custom descriptor or by creating a fully custom metric.

**1. Custom Descriptors (Row-level evaluation):**

For row-level evaluations that return numerical scores or categorical labels, you can implement a custom function as a `CustomColumnDescriptor` or `CustomDescriptor`.

*   **Single Column Check (`CustomColumnDescriptor`):**
    Define a Python function that takes a Pandas Series as input and returns a transformed Series (e.g., numerical scores or categorical labels). This descriptor evaluates each value in a specified column and returns a single column of results.

    ```python
    from evidently.core.datasets import DatasetColumn
    from evidently.descriptors import CustomColumnDescriptor
    import pandas as pd

    def is_empty(data: DatasetColumn) -> DatasetColumn:
        return DatasetColumn(
            type=""cat"",
            data=pd.Series([
                ""EMPTY"" if val == """" else ""NON EMPTY""
                for val in data.data]))
    ```

    You then add this descriptor to your dataset:

    ```python
    eval_df.add_descriptors(descriptors=[
        CustomColumnDescriptor(""answer"", is_empty, alias=""is_empty""),
    ])
    ```

*   **Multi-column Check (`CustomDescriptor`):**
    Define a Python function that takes a `Dataset` object as input and returns one or many transformed `DatasetColumn` objects. This allows for pairwise evaluations or returning multiple scores from different columns.

    ```python
    from evidently.core.datasets import DatasetColumn
    from evidently.descriptors import CustomDescriptor
    from evidently import Dataset
    import pandas as pd

    def exact_match(dataset: Dataset) -> DatasetColumn:
        return DatasetColumn(
            type=""cat"",
            data=pd.Series([
                ""MATCH"" if val else ""MISMATCH""
                for val in dataset.column(""target_answer"").data
                == dataset.column(""answer"").data]))
    ```

    You then add this descriptor to your dataset:

    ```python
    eval_df.add_descriptors(descriptors=[
        CustomDescriptor(exact_match, alias=""exact""),
    ])
    ```

**2. Custom Metrics:**

For more advanced scenarios, such as implementing business metrics or weighted scores with custom visualizations and default test conditions, you can build a fully custom metric. This involves:

*   Implementing the Metric's calculation method.
*   Optionally, defining default Test conditions.
*   Optionally, creating a custom visualization using Plotly.

An example of a custom metric `MyMaxMetric` that calculates the maximum value in a column, including its implementation and usage in a Report, can be found in the documentation.",good,,good,"The user asked how to add a scoring function. The agent provided two methods: Custom Descriptors (for row-level evaluation) and Custom Metrics (for advanced scenarios). The response includes code examples for both CustomColumnDescriptor and CustomDescriptor, which directly address how to implement custom functions for scoring. It also mentions custom metrics for more complex cases and points to an example in the documentation. The information provided is directly from the Evidently documentation and accurately answers the user's question without hallucination or external links. The formatting is clear and uses markdown correctly."
How do I export a report as HTML?,"You can export a report as an HTML file using the `save_html()` method of your report object. For example:

```python
my_report.save_html(""file.html"")
```

This will save the interactive visual report as an HTML file that can be opened in a browser.",good,,good,"The user asked how to export a report as HTML. The agent correctly identified the tool `save_html()` from the documentation and provided a clear, concise example of its usage. The response is directly relevant to the user's question and accurately reflects the functionality described in the Evidently documentation. No external tools or unsupported features were hallucinated."
How do I save my results as a PDF?,"Based on the documentation, there is no direct method described to save your results as a PDF. The available output formats for reports include HTML, JSON, and Python dictionary. You can also view reports in a Jupyter notebook or save them to a workspace.",good,,good,"The user is asking how to save results as a PDF. The agent searched for information on saving results as a PDF and examined the `output_formats.mdx` documentation. The documentation indicates that reports can be output in HTML, JSON, and Python dictionary formats, and can be viewed in a Jupyter notebook or saved to a workspace. There is no mention of a PDF export option. The agent accurately reflects this information in its response and correctly states that there is no direct method to save results as a PDF based on the documentation provided. Therefore, the response is good."
How do I add a panel to my dashboard?,"To add a panel to your dashboard, you must first have Reports with evaluation results added to the Project. Then, follow these steps in the user interface:

1.  Enter ""Edit"" mode on the Dashboard (located in the top right corner).
2.  Click on the ""Add Panel"" button, which is next to the ""Edit"" mode button.
3.  Follow the prompts to configure the panel. This involves:
    *   **Selecting Metrics**: Choose the Metric name that matches the name of the Evidently Metric logged inside the Reports in the given Project.
    *   **Filtering by Tag**: Optionally, use the ""From"" field to filter metrics by Tags if you have attached them to corresponding Reports.
    *   **Filtering by Metric label**: If you have multiple instances of the same metric (e.g., column-level Metrics), use the ""Where"" selector to specify additional parameters like ""Column"" (for column or descriptor name) or ""Value type"" (to choose whether to plot value or count for metrics that return both).
    *   **Setting Legend**: Use the ""Label"" field to modify what appears on the legend.
    *   **Setting Panel Type**: Specify the plot type and aggregation level.
4.  Use the preview to review your setup.
5.  Click ""Save"" and select the Tab where you want to add the Panel.

You can also add panels programmatically using the Python API.",good,,good,"The agent correctly identified that the user was asking about adding a panel to a dashboard. It used the search tool to find relevant documentation and then used the get_file tool to retrieve the content from `docs/platform/dashboard_add_panels_ui.mdx` and `docs/platform/dashboard_add_panels.mdx`. The agent's response provides clear, step-by-step instructions on how to add a panel to a dashboard using the Evidently UI, referencing ""user interface"" and the Evidently platform implicitly through the context of the documentation. The instructions are accurate and directly address the user's question. The response also mentions the possibility of adding panels programmatically, which is a good addition."
